,test_case,id,source,language,text,task1,task2
3728,EXIST2021,3729,twitter,es,"@Kthee__ dios, no, que lo vas a sodomizar",non-sexist,non-sexist
3729,EXIST2021,3730,twitter,es,@grisasexual Pues si pero si educas a las goril@s se acaba el movimiento hembrismo,sexist,ideological-inequality
3730,EXIST2021,3731,twitter,es,"#CasoEndémico. Las posibilidades de acceso a la justicia para la víctima se escurren entre las grietas de un sistema corrompido por los máximos exponentes del patriarcado insular. Querida niña, desde la sororidad de las mujeres isleñas te abrazamos y protegemos porque #YoSiTeCreo https://t.co/FKMqSSaM86",non-sexist,non-sexist
3731,EXIST2021,3732,twitter,es,@niafrnandez yo te lo digo todos los días puta guarra,sexist,misogyny-non-sexual-violence
3732,EXIST2021,3733,twitter,es,"@diegoacvdot @IvanDuque @CancilleriaCol @MigracionCol @SenadoGovCo Para eso es que les permite entrar migración Colombia, la escoria que manda Maduro y es aceptada por el gobierno.Son poquísimos los que realmente vienen a trabajar, aunque aquí ya no hay trabajo ni para colombianos, la tal plan-demia acabó la economía y empleos",non-sexist,non-sexist
3733,EXIST2021,3734,twitter,es,No nos resulta fácil someternos a la palabra de otro. Sobre todo cuando ese otro nos da razones suficientes de justicia y de fraternidad entre todos los hombres y mujeres. Tenemos nuestro propio código de valores para perderlo ahora por doctrinas que otro se empeña en enseñar. https://t.co/xsWQdEWcwC,non-sexist,non-sexist
3734,EXIST2021,3735,twitter,es,"Dios recién salí, diganmen suerte putas",sexist,misogyny-non-sexual-violence
3735,EXIST2021,3736,twitter,es,esto lo puse cuando conoci a marc en el salon me parto la polla https://t.co/yQaLpd6ubX,non-sexist,non-sexist
3736,EXIST2021,3737,twitter,es,"@MarGallegosO Los provida+proarmas=promuerte entienden la feminidad ideal precisamente desde la feminidad sin derechos, la mujer ideal es la que administra la casa, sumisa siempre, mientras el macho hace política",sexist,stereotyping-dominance
3737,EXIST2021,3738,twitter,es,"Yo no necesito a un hombre, yo soy lo que un hombre necesita",non-sexist,non-sexist
3738,EXIST2021,3739,twitter,es,"@Angry__cat_ Y si ella no se sabe mi DNI?Sacando hasta topicos machistas inventados...Por esa regla de tres, tendrías que explicar eso de ""mujer al volante peligro constante""",sexist,stereotyping-dominance
3739,EXIST2021,3740,twitter,es,"@Parejaswbogot11 Buenos días, fantástico. Una mujer totalmente empoderada de su placer, de su sentir.Sincronizado con Spotify para vivirlo al ritmo de tu playlist!",non-sexist,non-sexist
3740,EXIST2021,3741,twitter,es,"Feminismo: Ni una menos!! El empoderamiento de la mujer es el único medio para conseguir la igualdad efectiva entre géneros!!Feminismo liberal: las mujeres también pueden aprovecharse del capitalismo  Que tal guapa, has pensado en vender tu cuerpo?  Es súper empoderante",sexist,ideological-inequality
3741,EXIST2021,3742,twitter,es,@otra_crespa_mas Que internacional,non-sexist,non-sexist
3742,EXIST2021,3743,twitter,es,"Así como este zurdo adorador y obediente de políticos, hay muchos.""Indignado"" porque la mujer no está usando mascarilla, pero poco le importa acercarse a ella para intimidarla y acosarla. https://t.co/tX9x60G2Yf",sexist,misogyny-non-sexual-violence
3743,EXIST2021,3744,twitter,es,@TRIHCULLEN Yo milito el prejuicio.El amor (claro está) es una lotería. Pero a veces hay señales que tienen que ser captadas a tiempo para evitar desgracias como la que pasó la chica. https://t.co/K69IA64ZFP,non-sexist,non-sexist
3744,EXIST2021,3745,twitter,es,@Nebride3 @Nievessebastia1 @RUBEN_CSANCHEZ2 @mariu_tf @Detrasdelaslet1 @helenishere1 @mpivila @feministes_cat Si estoy de acuerdo contigo.Pero yo me puedo follar un melon o a una mujer dormida.Los verbos son importantes y mas cuando sirven para educar a las masas.A mi una generacion de amantes cuidadosos y empaticos me parece mas necesaria que una generacion (otra mas) de folladores,sexist,objectification
3745,EXIST2021,3746,twitter,es,"@Cooperativa El compromiso estaba, hasta que las zorras qlias hicieron lo que están acostumbrados a hacer, trampa, sacar ventaja, como en toda si historia sucia",sexist,misogyny-non-sexual-violence
3746,EXIST2021,3747,twitter,es,"@CCesaroni El problema es previo a eso y de carácter cultural, en serio las mujeres no saben cómo evitar quedar embarazadas?",sexist,misogyny-non-sexual-violence
3747,EXIST2021,3748,twitter,es,@Gregorik27 Es que me tienen living con las alianzas en modo #Survivor pero con el fondo del #MeToo.,non-sexist,non-sexist
3748,EXIST2021,3749,twitter,es,Ya casiii! La Conjunción Júpiter-Saturno se estrecha cada vez más  https://t.co/Rrzwj8HIZ7,non-sexist,non-sexist
3749,EXIST2021,3750,twitter,es,"#masterchefjunior mi impresión es: un montón de niños adinerados, maleducados, gritones e insoportables, que no tienen ni puñetera idea de cocinar y que al final ganará la menos insoportable que es una niña morenita que no sé como se llama.",non-sexist,non-sexist
3750,EXIST2021,3751,twitter,es,El “Asesino de Twitter” es condenado a muerte por asesinar a 8 mujeres y un hombre https://t.co/iOZEngxLQl https://t.co/cCRCzDaH8s,non-sexist,non-sexist
3751,EXIST2021,3752,twitter,es,"@SugoiDoppai Pos yo tengo la voz hecha una escoria, aún así me simpearias?",non-sexist,non-sexist
3752,EXIST2021,3753,twitter,es,@rodrisdg me parto la polla te lo juro es q jajajajajajajajjajaajajajaja el nivel de abandono de uno mismo lel,non-sexist,non-sexist
3753,EXIST2021,3754,twitter,es,@ZYTJavier Era obvio todos sus seguidores sabíamos q era Niño por que a kim se le salió cuando dio la noticia q estaba embarazada era mas que obvio el Javier al igual lo intuyo,non-sexist,non-sexist
3754,EXIST2021,3755,twitter,es,"@RadioJoaquin @bondonikey Me gusta escucharla con Irene, Marta y las demás chicas!! Son un amor!!  Y me cuentan cosas bonitas de Bondoni!! https://t.co/WRJ8BxR3Th",non-sexist,non-sexist
3755,EXIST2021,3756,twitter,es,@I_am_a_Nephilim @VilgrePatricia @meli_block @edvolpa Lo que pasa que a las señoritas de hoy soo les importa su carrera profesional..competir con el hombre...e fiestarse sin compromiso y la llegada de un bebe es un problema porque se corta la joda no?,sexist,stereotyping-dominance
3756,EXIST2021,3757,twitter,es,"Estoy viendo Popeye, el capítulo se llama: ""Las mujeres no deben conducir, mujer al volante, peligro constante"" Por la rechachaaa jajaja https://t.co/xNfklbk8HW",sexist,stereotyping-dominance
3757,EXIST2021,3758,twitter,es,@Adrilastra A vuestro VP le gusta azotar mujeres hasta sangrar y ahí sigue el nota...valiente mamarracha estás hecha...,sexist,sexual-violence
3758,EXIST2021,3759,twitter,es,@pelayonna @iconic31 Hunde a esa niñata pe,sexist,misogyny-non-sexual-violence
3759,EXIST2021,3760,twitter,es,"@Toni0084 abortar no es desear la muerte, nadie te obliga a abortar, es simplemente un derecho del que todas las mujeres deberían optar, si ella no ha abortado es pq sus hijos son deseados, pero y si ahora una mujer se queda embaraza y no quiere tenerlo, ps lo aborta y punto",non-sexist,non-sexist
3760,EXIST2021,3761,twitter,es,"@amagorri @Paulafraga__ @LauraRdondo A mí me importa la igualdad real y por eso, entre otras cosas, llevo más de una década investigando el videoclip hegemónico con su lamentable imagen-objeto-sexual de la mujer.",non-sexist,non-sexist
3761,EXIST2021,3762,twitter,es,"@crealdigital @Pilarcallado Las mujeres sordas, con baja audición, no verbales o sordociegas víctimas de maltrato pueden llamar al 016 con 900.116.016, SVisual, ALBA, Telesor, ATENPRO y la app PorMí. Al 112 con la app 112Accesible. Al 091 y 062 con SVIsual y app AlertCops. #ViolenciaMachista #Accesibilidad",non-sexist,non-sexist
3762,EXIST2021,3763,twitter,es,"Claro que sentí envidia cuando lo ví delgado y yo estaba hecho una vaca; obvio que decirle ""gordito en pausa"" es una manifestación de envidia reprimida. ¿Por qué hice eso? Por mi incapacidad de asumir mi responsabilidad en todo esto, por creer que el éxito ajeno es el enemigo.",non-sexist,non-sexist
3763,EXIST2021,3764,twitter,es,"Cree que existe la ""ideología de género"", las ""feminazis"" y que la mayoría de las denuncias por VBG son falsas. Que los varones se suicidan por causa de que mujeres no dejan ver a sus hijos.El problema es que tiene hilos, y mañana podemos tenerla en algún lugar del gobierno.",sexist,ideological-inequality
3764,EXIST2021,3765,twitter,es,@ely_blancarte da igual te sigue puro puberto pendejo y tu ya te ves bien vividita y lagartona toda una señora hedionda igual que la kimbypooh jajajajaja a quien le importa,sexist,misogyny-non-sexual-violence
3765,EXIST2021,3766,twitter,es,@desert_or @mercedesmaria5 A mi también me relaja lo que odio es fregar vajilla,non-sexist,non-sexist
3766,EXIST2021,3767,twitter,es,"@Deundummie @FerVazquezCast @julia_iriarte Hay tantas cosas que no me gustan en el patriarcado, como por ejemplo , que exista.Te explicaria lo del androcentrismo, pero como lo hace la RAE, me lo ahorro.Puedes entenderlo o no y desgraciadamente, ese SÍ es mi problema.",non-sexist,non-sexist
3767,EXIST2021,3768,twitter,es,"[00:00] tae de mi joon  @innerswan_ te quiero muchísimo mi niña. estoy muy feliz de haber tenido la oportunidad de conocer a una persona tan fantástica como tú, estoy orgullosa de ti siempre, que lo sepas, mi angelito, te adoro un montón  https://t.co/bYJirxVbaL",non-sexist,non-sexist
3768,EXIST2021,3769,twitter,es,@ProtegeryServir no es una violación a los protocolos contra #ViolenciaDeGenero y actuación policial el que elementos masculinos sometan y agredan a manifestantes femeninos? @ONUMujeres @CIDH,non-sexist,non-sexist
3769,EXIST2021,3770,twitter,es,"@ermAtzaki Pues yo soy un incel, pues me gustaría follar pero no follo, no digo que sea culpa de las chicas, pero no ayudan mucho tampoco, ninguna me va diciendo quiero chiscar",sexist,objectification
3770,EXIST2021,3771,twitter,es,"-Sí, porque no dejo de pensar en una cosa imposible.+¿Cuál?-En encontrar una mujer como mi padre ha encontrado para él.",non-sexist,non-sexist
3771,EXIST2021,3772,twitter,es,@qtf ¡Pinche vieja pendejo! Eres escoria.,sexist,misogyny-non-sexual-violence
3772,EXIST2021,3773,twitter,es,"Porque sera, que a las mujeres les gusta mas un hombre bonito, que un hombre feo, sabiendo que el hombre bonito solo les hará daño, mientras que en el feo, encuentra la felicidad que ella quiere.",sexist,ideological-inequality
3773,EXIST2021,3774,twitter,es,QUE MUJERES https://t.co/I9jKfiwG36,non-sexist,non-sexist
3774,EXIST2021,3775,twitter,es,Che xq no hacemos tendencia Gf para q deje a las chicas en paz....noce algoooo ayudaaaa #rosmello,non-sexist,non-sexist
3775,EXIST2021,3776,twitter,es,"Hoy es un día muy feliz en vida, sustente mi tesis y la postularon a tesis meritoria  A todas las mujeres de mi partido @dignidad_col A mis amigas de @RevistaEmancipa A mi mamá, papá, Fernan, naty y mis tíasPor una sociedad sin violencias",non-sexist,non-sexist
3776,EXIST2021,3777,twitter,es,@oerre_ Es el daño que está haciendo la impunidad que quieren dar a las mujeres. Tener derechos por encima de los hombres para compensar esa mentira llamada “El nuevo feminismo”,sexist,ideological-inequality
3777,EXIST2021,3778,twitter,es,@MPSnoserinde Para sodomizar españoles.Y españolas.,non-sexist,non-sexist
3778,EXIST2021,3779,twitter,es,"@pastafariian @mire_palenzuela @christocasas Es que en el año 1970 las terfs excluían a las lesbianas del feminismo por que les gustan las mujeres,ahora ven el daño que nos hacían a las trans algunas lesbianas seguidoras de esta tipa,pero oye qué son buen recibidas de nuevo en el colectivo lgtbiq, la inclusión es feminsitas",sexist,ideological-inequality
3779,EXIST2021,3780,twitter,es,Hoy se viene una nueva charla online con todo lo que necesitás saber sobre #abusosexual contra niñxs y adolescentes ¡Te esperemos! 20Hs. https://t.co/PBZiTTpR5I #YoSiTeCreo #NoMataras https://t.co/CCoJg2CA7k,non-sexist,non-sexist
3780,EXIST2021,3781,twitter,es,"#Ampliación Durante las diligencias se coordinó con la PNC la captura de 9 personas por los delitos de asociación ilícita y robo. Se les vincula a las estructuras criminales “Las Saqueadoras” y “La Luz”, integradas en su mayoría por mujeres. https://t.co/jQVLCAKiiO",non-sexist,non-sexist
3781,EXIST2021,3782,twitter,es,"@PutitaMerello @nowherefrau @nataliavolosin NO ES BÍBLICA la afirmación que haces sobre María. Es una afirmación católica,  basada en suposiciones y decretos papales. María era una mujer común,  obediente a Dios, temerosa de Dios y de mucha fe y fuerza.",non-sexist,non-sexist
3782,EXIST2021,3783,twitter,es,Hola mamitaaEspero estos días disfrutes mucho los tuits diarios que te pondré y te lleguen a sacar una sonrisa. Eres una persona muy linda que he visto a lo largo de este año como te superas y cumples cada una de tus metas. Gracias por permitirme acompañarte en este año.,non-sexist,non-sexist
3783,EXIST2021,3784,twitter,es,"@joanmena Habla por ti, que se os llena la boca de voluntad popular cuando lo que hacéis es violar derechos. Es muy fácil, tres casillas de selección, catalán, castellano, las dos. Solo después de eso, sin ninguna coacción ni represión al alumno, puedes hablar con propiedad.",non-sexist,non-sexist
3784,EXIST2021,3785,twitter,es,@CrzMarin @queenbuenrostro El feminismo es una moda para estas ignorantes,sexist,ideological-inequality
3785,EXIST2021,3786,twitter,es,@aliveforagus hay pruebas gorda no flashees,sexist,misogyny-non-sexual-violence
3786,EXIST2021,3787,twitter,es,"@Lucxs_0 Lesbiana si reprimida jamás, eso si jamaaas",non-sexist,non-sexist
3787,EXIST2021,3788,twitter,es,"¡Espectacular!  Jennifer López en la actualidad es considerada como una de las actrices más importantes de #Hollywood, esto obviamente se debe al increíble talento que desprende en cada uno de sus proyectos artísticos. #California  @Miami_Diariohttps://t.co/2Os3QtA0AC",non-sexist,non-sexist
3788,EXIST2021,3789,twitter,es,"Conozco una mirada de lujuria cuando la veo. Sabe que lo atrapé mirándome por la ventana de su cocina. Y está avergonzado por eso. Él odia quererme. Y odia que lo sepa.No es que me importe. Es sexy como el infierno, de una manera tensa, reprimida.",non-sexist,non-sexist
3789,EXIST2021,3790,twitter,es,◆ Inferior por ser mujer◆ Adicción a esnifar smegma◆ 100% sumisa◆ Amor por las futas◆ Descerebrada del sexo◆  &amp;  https://t.co/dy8erBNL7y,sexist,stereotyping-dominance
3790,EXIST2021,3791,twitter,es,"@mambe12xd Todas las mujeres de todos los países deberían tener ese derecho y no importa si no se cuidaron, deben de decidir por su cuerpo si tener al hijo o no, porque a muchos de los padres de las mujeres que abortan tampoco les gusta mucho la idea de tener un hije. Más aparte el aborto+",non-sexist,non-sexist
3791,EXIST2021,3792,twitter,es,@JorLopezP Es que el feminismo es una ideología carente de sentido y racionalidad que se fundamenta en falsos dogmas. El feminismo actual es ridículo y a quien más le va a hacer daño es a las propias mujeres. Y por esas razones es un tan fácil y divertido reírse el de el. Un ejemplo https://t.co/AzUnoTunXz,sexist,ideological-inequality
3792,EXIST2021,3793,twitter,es,"hoy una profesora mia me ha dicho que mientras que vaya a este instituto me va a suspender porque soy una niñata que tendria que haberme quedado en 3°de la ESO,luego pretenden que nos guste el curso y nos sintamos realizados",non-sexist,non-sexist
3793,EXIST2021,3794,twitter,es,"@JuliaLuz98 @YoFermina Mansplaining sería decir algo, cualquier cosa sea, para el feminismo falopa, no? Una forma de ocultar la falta de argumentos y la misandria de ese sector del feminismo falopa, dominante en las redes",sexist,ideological-inequality
3794,EXIST2021,3795,twitter,es,"@psenseve Ah sí, no es algo que me sorprenda. Es el manspreading del mundo literario. Nunca ""encuentran"" a las mujeres...pasa lo mismo con las artistas plásticas...¿hay en Bolivia? No las conozco, solo conozco a mis amiguitos",sexist,ideological-inequality
3795,EXIST2021,3796,twitter,es,"@MaraEugeniaNav5 @Alicia_PC @KelpieOz @clmarreromFP @rluis60 @RCamachoVzla @AlvaroMunoz muchas de las mujeres que difieren con lo que planteas, son potenciales victimas de violencia, a veces no logro entender como se pretende luchar contra la violencia de genero cuando como mujeres son incapaces de decir ""NO"", o cuando siguen viendo al depredador como un amigo",non-sexist,non-sexist
3796,EXIST2021,3797,twitter,es,@dazzacamilo @FolieSoul @mariangelauc Tu eres mujer para decir que representa a la mayoría de las mujeres? #Mansplaining,non-sexist,non-sexist
3797,EXIST2021,3798,twitter,es,aquí en el bus con un notas haciendo manspreading a mi lao porque si,non-sexist,non-sexist
3798,EXIST2021,3799,twitter,es,"@amairanirussell Jahajajajaja, así yo con los tés, pero ya casi, cuando menos pienses vas estar a tres días De tenerlo en tus brazos",non-sexist,non-sexist
3799,EXIST2021,3800,twitter,es,@alexandertamu we're not moots pero pienso en lagartona que es una mujer que se le ofrece a hombres casados/con pareja,sexist,misogyny-non-sexual-violence
3800,EXIST2021,3801,twitter,es,@Carlabernaal @joelfernandezz_ No importa que no te lleves con el si te quiere no pasa nada a mí me pareces una chavala de puta madre y la gracia es que casi no hemos hablado,non-sexist,non-sexist
3801,EXIST2021,3802,twitter,es,"@PotiPotiInLove Deberías leer más sobre Feminismo y enterarte de qué va todo esto. Te sigo desde hace mucho y sé que si lo entendieras estarías de acuerdo con ella, quizás no en el modo de expresarse, pero sí en lo que defiende.",non-sexist,non-sexist
3802,EXIST2021,3803,twitter,es,"Hilo #MGTOW. Actrices que antes de los 30 años ni de broma volteaban a ver al ""chico bueno""; hasta que cumplen más de 30 y entonces se dan cuenta... ya cansadas del carrusel patán y con el tiempo en contra, o se apresuran a amarrar a un buen simp o...https://t.co/zl8GyFhCEa",sexist,stereotyping-dominance
3803,EXIST2021,3804,twitter,es,"@evasanztoro Jajjaj Qué perra!Nunca voy a entender, el por q las mujeres creen q son las únicas vulnerables ante situaciones de riesgo? Y los niños? Y los animalitos? Y q no saben q también hay casos de hombres acosados y/o abusados sexualmente? No importa edad, género o especie! Empatía pls",sexist,ideological-inequality
3804,EXIST2021,3805,twitter,es,Te tapó el nombre pa que no te siga ninguna zorra de acá dice jajajajaja,sexist,misogyny-non-sexual-violence
3805,EXIST2021,3806,twitter,es,"Un claro ejemplo de machism0, se piensa que por ser hombre le va a explicar cómo ser feminista a una mujer https://t.co/LEUCSm3D2z",sexist,ideological-inequality
3806,EXIST2021,3807,twitter,es,#DARKDREAMSDToca el turno de endulzar sus corazones con estas señoritas! Por favor presten atención y no se pierdan de las princesas de TWO TIMES! https://t.co/bCDstiXss5,non-sexist,non-sexist
3807,EXIST2021,3808,twitter,es,"Mañana mismo me vuelvo al Leroy Merlín a devolver todos los regalos que he comprado para mis chicas. ¡¡Gracias, @Mine_Jam_ !! https://t.co/MbZGZsgz8m",non-sexist,non-sexist
3808,EXIST2021,3809,twitter,es,"@lolilalesca @ChCarreraLeal @Frente_Amplio No, sólo queda seguir luchando para cambiar toda esta injusticia!! Es verdad que mucha gente merece, y justifica, esto que está pasando, pero debemos seguir adelante, por nuestros hijos y los de ellos. Hasta la langosta pasa, esto pasará!!!",non-sexist,non-sexist
3809,EXIST2021,3810,twitter,es,Linda tarde a todas chicas y bendiciones ☺,non-sexist,non-sexist
3810,EXIST2021,3811,twitter,es,Una mujer empoderada. https://t.co/BVODvvQeYH,non-sexist,non-sexist
3811,EXIST2021,3812,twitter,es,@baudomine @unholy_bat ISSSO REFUTA ELAS!!!!1 #MGTOW,non-sexist,non-sexist
3812,EXIST2021,3813,twitter,es,@CHATYUSHA @im_reborn3d No. Es como el manspreading. Solo hacia un lado.,non-sexist,non-sexist
3813,EXIST2021,3814,twitter,es,Sumisa y reprimida. Así era el papel de la mujer en la Antigua Grecia... https://t.co/jqP5pOd3Lc,sexist,stereotyping-dominance
3814,EXIST2021,3815,twitter,es,"@RiveraBass @juanrallo Me has cuestionado por ser del ""Partido que no ofende"", cada quien es libre de NO ofenderse, yo no intento ofenderte, solo te digo lo que pareces, un mono con una hojilla porque no tienes ni puta idea de lo que respondes, solo ondeas la hojilla y ya está. Duermase y quédese asi",non-sexist,non-sexist
3815,EXIST2021,3816,twitter,es,El Supremo confirma más de 3 años para el militar y el guardia civil de 'La Manada' por grabar la violación en Pamplona #LaManada  https://t.co/hjenVqqBVL,non-sexist,non-sexist
3816,EXIST2021,3817,twitter,es,"@AnaPofemi_nista Que el cargo de ministra de igualdad lo ostente una chica cuyo único mérito es ser ""la mujer de..."" le hace MUCHO daño al feminismo. Lo peor es que le dan alas a VOX.",sexist,ideological-inequality
3817,EXIST2021,3818,twitter,es,El Tribunal Supremo (TS) ha resuelto que «no ha lugar» al recurso de casación. #Supremo #Tribunales #Justicia #LaManada #Sentencia #Nacional https://t.co/lVQJUGCdsO,non-sexist,non-sexist
3818,EXIST2021,3819,twitter,es,Pregunta sería: xk en la mayoría de los videoclips las mujeres salen en bikinis o menos ropa pero los tíos abrigaos con un polar?,non-sexist,non-sexist
3819,EXIST2021,3820,twitter,es,Y la frigida no vino?,sexist,stereotyping-dominance
3820,EXIST2021,3821,twitter,es,@rosssitablanca @zascas7 Bueno...  lagartona...  https://t.co/B4tLKAc4bp,sexist,misogyny-non-sexual-violence
3821,EXIST2021,3822,twitter,es,Lo más honesto que pueden hacer las mujeres es decir que tienen poder sexual sobre los hombres y admitir que ellas lo saben y lo usan a su favor. Esa basura de que “no lo hago para los hombres” es bullshit. Esa gymnasia mental las tiene deprimidas.,sexist,objectification
3822,EXIST2021,3823,twitter,es,Hay un hombre caído que a ti te necesita,non-sexist,non-sexist
3823,EXIST2021,3824,twitter,es,"@feIixpov Yo como novio:- Sexo todos los días, todas las horas que pueda.- Viajar.- Me gusta cocinar cosas ricas.- Sales con tus amigos y yo con los míos de fiesta y luego follar borrachos.- Te apoyo en lo importante.- Espacio vital.- 0 celos.",sexist,objectification
3824,EXIST2021,3825,twitter,es,ella: todos tenemos privilegioalso ella: las mujeres no tienen privilegio pero los hombres de color sí,sexist,ideological-inequality
3825,EXIST2021,3826,twitter,es,estoy enamorada d esta mujer Abandono mi amor a los hombres para dedicarme a ser la esposa d leebada,non-sexist,non-sexist
3826,EXIST2021,3827,twitter,es,@NoVayanaLlorar Tan indignada con los pobres y a la vez quieren que se mueran pa-te-ti-ca  feminazi tenía que ser,sexist,ideological-inequality
3827,EXIST2021,3828,twitter,es,@naia_sub Eres una mujer muy obediente y muy sexy preciosa,sexist,stereotyping-dominance
3828,EXIST2021,3829,twitter,es,la vieja tiene 15 años y está que salta en una pata por estar embarazada? mmmm,sexist,stereotyping-dominance
3829,EXIST2021,3830,twitter,es,porq vrg le das like a todos sus tweets psh zorra,sexist,misogyny-non-sexual-violence
3830,EXIST2021,3831,twitter,es,@LegendarioSise ENSEÑA LAS TETAS,sexist,objectification
3831,EXIST2021,3832,twitter,es,"@Rubea_27 Si vos sos fea, entonces yo no sé que soy.",non-sexist,non-sexist
3832,EXIST2021,3833,twitter,es,Las mujeres no te pueden amar de la manera en que tú quieres ser amado .Ella simplemente no lo pueden hacer. Ella no te ven por lo que tú realmente eras ellas te ven por lo que tú puedes hacer por ellas y no necesariamente económicamente Las emociones que le hace sentir a ellas.,sexist,ideological-inequality
3833,EXIST2021,3834,twitter,es,@abiortigosa FUA si estas gorda que le espera al mundo,sexist,objectification
3834,EXIST2021,3835,twitter,es,"@albinoperezrod1 @Pam_Angela_ @MiliBerkana @elsaruizcomica @COGAM Muchos andamos tan arrepentidos, conozco a varias que hasta gasolina han puesto para pegar carteles, las mujeres de mi familia, por eso me revienta aún más",non-sexist,non-sexist
3835,EXIST2021,3836,twitter,es,"Si no nos decidimos por éste estamos perdidos y nuestra decadencia va a ser definitiva. - El marxismo le ha hecho mucho daño a la humanidad y lo sigue haciendo con los sucedáneos de la lucha de clases que propone: feminismo, ecologismo, ambientalismo, indigenismo,",sexist,ideological-inequality
3836,EXIST2021,3837,twitter,es,"@Susamj @Archel_6 @PabloEchenique @IreneMontero Este hombre necesita un tratamiento, no ya hormonal, sino psiquiátrico.",non-sexist,non-sexist
3837,EXIST2021,3838,twitter,es,La fuerza y empuje de muchas mujeres conseguirá que sea ley en todo el mundo: solo sí es sí.https://t.co/anpdT7RXh7 https://t.co/h34xovsnj6,non-sexist,non-sexist
3838,EXIST2021,3839,twitter,es,"No quiero dejar de agradecer a los miembros de la Policía y del Ejército que se encuentran por esta localidad, mi reconocimiento a esos Hombres y Mujeres valientes que día a día exponen sus vidas para brindarnos seguridad a todos los Salvadoreños. https://t.co/7hAfwdkurR",non-sexist,non-sexist
3839,EXIST2021,3840,twitter,es,"@Rubiapeleona Mujer florero,sumisa",sexist,stereotyping-dominance
3840,EXIST2021,3841,twitter,es,@nat_solis @El_Mati_Fernand @Cooperativa Presisamente por eso es opinion feminazi,sexist,ideological-inequality
3841,EXIST2021,3842,twitter,es,"@Cazatalentos @Cecilio_Martos Hace un año hubo un concierto de la polla en el mismo sitio con 15mil personas, pero como gusta el victimismo.",non-sexist,non-sexist
3842,EXIST2021,3843,twitter,es,He vuelto zorras https://t.co/ykITxnZivZ,sexist,misogyny-non-sexual-violence
3843,EXIST2021,3844,twitter,es,"@CuentaMister @Zona_Blaugrana No hay afición más llorona, plañidera y nenaza que la culerda  https://t.co/zOmWhY7rk0",non-sexist,non-sexist
3844,EXIST2021,3845,twitter,es,"@RotelippenSpain @ElenaArmesto Tampoco se olviden de que queremos exterminar al hombre o volverlos nuestros esclavos  (Esto es según muchos varones, porque obviamente ellos saben más de feminismo que nosotras las feministas).",sexist,ideological-inequality
3845,EXIST2021,3846,twitter,es,Y ponen lo que se les canta el orto* tantas palabras te ibas a comer gorda puta,sexist,misogyny-non-sexual-violence
3846,EXIST2021,3847,twitter,es,Si manada de hijos de las mil putas ahora sí... Pero hace 15 días con las elecciones cuántos casos saldrán de sus mítines y reuniones a cielo abierto sin control??? Ahora sí a joderse todos por ustedes.... Parranda de come mierda https://t.co/2wMl22C6ex,non-sexist,non-sexist
3847,EXIST2021,3848,twitter,es,"lisa es la que siempre se preocupa y está para darle amor a los demás, no sería capaz de lastimar a nadie y es extremadamente talentosa, todo lo que hace le sale perfecto y todo lo que tiene ahora es por su esfuerzo, se merece todoLISA YOU ARE LOVED 블랙핑크 리사 #리사 #LISA",non-sexist,non-sexist
3848,EXIST2021,3849,twitter,es,CIBERACTIVISMO FEMINISTA #ViajoSola #MeToo #LaManada #8M #AMiTambien #FuimosTodas https://t.co/s2P2TGikbi a través de @goconqr,non-sexist,non-sexist
3849,EXIST2021,3850,twitter,es,Esa conexión que formas con un random xq dice que hatea a un campeón y yo le digo que odio mi vida y me dice #metooTe amo,non-sexist,non-sexist
3850,EXIST2021,3851,twitter,es,"Siento que me falta mucho por aprender sobre feminismo, colonización, racismo, transfobia, política, entre otros.Pero también siento que a comparación de tres años he aprendido mucho y me siento orgullosa.",non-sexist,non-sexist
3851,EXIST2021,3852,twitter,es,@peyo54 @CorreAlexandra @danny8002 Generación reprimida nos llama de cristal,non-sexist,non-sexist
3852,EXIST2021,3853,twitter,es,Pese a todo esto queremos transmitiros que próximamente os informaremos de otra recogida ya que no vamos a permitir que una iniciativa solidaria se vea reprimida en dos ocasiones.¡Usera es de su gente solidaria y no de quien solo viene a reprimir!,non-sexist,non-sexist
3853,EXIST2021,3854,twitter,es,"¿cómo estás vestida hoy? — Pantalón de vestir negro, blusa blanca y zapatitos negros. El look de una mujer empoderada trabajadora.  https://t.co/dPGNYaHJkA",non-sexist,non-sexist
3854,EXIST2021,3855,twitter,es,"@Sabrillosa @aguedegue @peyo54 @CorreAlexandra @danny8002 DEFINASE, por que si sale a decir que apoya algo es por que lo apoya en todo, no solo cuando le sale del orto hacerlo, por que solo se mira como una estupid+.Claro que chiste que nos llamen generación de cristal, ellos siendo la generación de semento y reprimida. https://t.co/vsuazyd4sF",non-sexist,non-sexist
3855,EXIST2021,3856,twitter,es,panorama economico negro para 2021https://t.co/xPIkI4XBz9,non-sexist,non-sexist
3856,EXIST2021,3857,twitter,es,"lo peor es que la seguía porque twitteaba un montón de cosas interesantes sobre el feminismo radical, pero no puedo seguir a alguien que piensa así de mis favs, lo siento mucho",non-sexist,non-sexist
3857,EXIST2021,3858,twitter,es,"A las mujeres lee pica ese culo definitivamente, odio al gremio",sexist,misogyny-non-sexual-violence
